route0,route1,route2,route3,route4,route5,route6,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,route21,route22,route23
4,0,4,0,0,3,5,4,0,0,0,0,7,0,5,0,4,8,0,4,5,0,0
5,1,5,1,1,5,6,6,1,1,1,1,8,2,7,1,5,9,1,5,8,1,1
9,2,7,2,2,6,7,7,2,2,2,2,9,3,8,2,7,10,2,7,9,2,2
16,3,8,4,3,7,8,8,3,3,8,6,10,4,9,3,8,12,3,8,12,3,3
36,4,9,5,5,12,9,10,4,4,12,7,11,8,10,6,9,20,4,9,13,4,5
40,5,10,6,6,13,10,13,5,5,13,9,12,9,11,9,10,21,5,10,14,5,8
45,6,11,9,7,14,11,14,6,6,14,10,13,12,12,10,15,23,6,11,17,6,11
47,7,12,12,8,15,12,19,7,7,15,13,14,19,13,11,16,24,7,12,22,7,12
48,8,16,14,9,16,14,20,8,8,18,15,15,25,14,15,24,25,17,13,23,8,15
65,11,17,21,13,17,20,21,10,11,20,17,16,26,15,16,25,26,18,16,24,17,18
66,12,18,30,14,18,21,22,11,12,21,18,17,27,16,17,26,34,19,17,25,18,19
67,13,20,31,15,19,22,26,13,13,22,19,18,29,17,18,28,35,24,18,26,19,20
69,14,21,32,18,20,29,27,14,14,29,20,19,30,18,22,29,37,25,20,27,24,22
73,15,22,33,32,21,30,28,15,15,31,21,20,31,19,23,30,38,26,21,28,25,26
76,16,23,35,34,22,36,31,20,16,33,22,21,33,20,25,31,,27,22,31,28,28
78,18,24,36,38,23,38,32,22,18,34,23,22,34,21,26,32,,29,23,32,30,30
79,20,25,64,43,24,39,37,25,20,35,24,23,35,22,27,33,,30,24,34,31,
81,21,28,67,44,25,40,39,26,21,36,25,24,37,23,28,34,,32,25,35,32,
83,22,29,,45,26,42,40,29,22,37,26,25,38,24,29,35,,33,28,36,33,
84,24,30,,46,27,,41,30,24,38,27,26,42,25,31,36,,34,29,41,35,
85,25,31,,47,28,,42,36,25,39,28,27,43,26,34,37,,36,30,,,
,26,32,,48,29,,46,38,26,40,29,28,46,27,36,38,,,31,,,
,27,36,,49,30,,48,41,27,41,32,29,48,28,37,39,,,32,,,
,29,37,,50,31,,51,42,29,42,40,30,49,29,41,40,,,33,,,
,31,38,,51,32,,52,43,31,43,41,31,52,30,42,41,,,34,,,
,32,39,,52,33,,53,44,32,44,,34,54,31,,42,,,35,,,
,33,40,,53,34,,54,45,33,45,,35,55,32,,43,,,36,,,
,34,41,,54,35,,55,46,34,46,,38,56,33,,44,,,,,,
,35,42,,55,36,,56,47,35,47,,39,57,34,,45,,,,,,
,36,43,,56,37,,59,48,36,48,,40,58,35,,46,,,,,,
,38,44,,57,38,,60,49,38,49,,42,60,38,,47,,,,,,
,39,45,,58,39,,62,50,39,50,,43,61,39,,48,,,,,,
,40,46,,59,40,,,51,40,51,,44,66,40,,49,,,,,,
,41,47,,,41,,,52,41,52,,49,68,43,,70,,,,,,
,42,48,,,42,,,53,42,53,,50,71,45,,78,,,,,,
,43,49,,,43,,,54,43,54,,52,72,47,,,,,,,,
,44,50,,,44,,,55,44,55,,54,,49,,,,,,,,
,46,51,,,45,,,,46,56,,,,53,,,,,,,,
